value,key,value_count,key_count,
it_unisalento_bandigrandiprogetti_web_portlet_BandoWebPortlet_INSTANCE_dikEL4hJBi0S,p_p_id,73339,73339,
ccl,q,73251,73164,
Venta,contratto,73234,73232,
%2fcris,path,73122,73122,
59,room,73037,10244,
explore_tag_refinement,ref,72793,72793,
%2Fbando%2Fview,_it_unisalento_bandigrandiprogetti_web_portlet_BandoWebPortlet_INSTANCE_dikEL4hJBi0S_mvcRenderCommandName,72638,72638,
FreeQuestion,qt,72626,72284,
320,width,72559,32201,
%C3%85M%C3%85%C5%BD%C3%95%C3%91,__mk_it_IT,72448,72059,
unsplash,utm_source,72396,72081,
368,amp,h,72391,51365
gbs_word_cloud_r,source,72366,72209,
FL,T,72134,68455,
52,room,72111,7774,
UK,r,72011,54305,
[responsive],x2,71958,71958,
ishare,utm_source,71637,71193,
L%C3%AAer%3ABeijing_2008_Olympics_logo.svg,target,71619,71603,
current,current,71495,61335,
rss-feed,utm_medium,71385,71385,
alleyinsider,fmsection,71377,70106,
fre,lingua,71370,20471,
PRIMOPIANO,sez,71250,70624,
179893126,topicid,71211,71211,
search_results,click_origin,71034,70366,
Prodotto,sort,71003,67213,
buy_now,action,71001,70998,
2001,UrlNotizia,70954,26350,
Resaula,tipodoc,70814,70768,
sai,c.vertical,70566,53305,
twitter-account,utm_campaign,70376,70375,
_-,a2,70296,70296,
IdSignInService,service,70290,70289,
host,X-Amz-SignedHeaders,70279,69792,
vertical_0,placement,70031,70031,
bitstream,type,69952,69952,
Account,clientId,69875,69186,
UNSIGNED-PAYLOAD,X-Amz-Content-Sha256,69793,69793,
AWS4-HMAC-SHA256,X-Amz-Algorithm,69792,69792,
DSMT2,utm_source,69561,69561,
menu,rh_type,69559,43696,
93,h,69539,36614,
ogi,linkCode,69370,56762,
cc-by,license_id,69235,69235,
indirizzo,tags,69183,69138,
https%3A%2F%2Fsession%2Fsession%2Fcallback%3Frealm%3D%2F,redirectUri,69153,69153,
103,lid,69064,15129,
sign-in,action,69055,69018,
te,hl,69014,44887,
primopiano,sez,68937,68566,
f,od,68848,41603,
www.bbc.co.uk,ptrt,68822,68729,
2010,-facets-date_1,68806,9606,
creditCopyText,utm_content,68775,65588,
107,id,68632,19624,
n-scene_128,tr,68578,68578,
online_payments_accepted,addon,68558,68558,
any,query,68473,64914,
